ID_Call,ID_Couple,Intruder,Owner,Sex,Defense,PC1,PC2,PC3,PC4,PC5
21,2,222,210,Female,0,-1.625078177,-0.964535721,-0.700078251,-0.647088584,0.068863478
22,2,222,210,Female,0,-0.453458575,-1.718386809,-0.779553763,0.815799523,-0.469365762
23,2,222,210,Female,0,5.7590112,1.253227373,-2.524762622,-1.827646733,-3.525509147
25,2,222,210,Female,0,-0.713917959,-2.25414186,-1.142622839,1.047043968,-0.775157652
148,11,235,219,Female,0,0.731560053,0.37094176,0.136609552,-0.909984187,-0.081045963
149,11,235,219,Female,0,-0.000407274,1.878527003,0.044385637,-0.556928022,1.469188368
150,11,235,219,Female,0,0.140599004,1.404663755,-0.594325213,0.005775705,0.145089758
185,13,240,245,Female,0,-0.179419328,1.067516515,-0.595893993,-0.373397353,0.761462607
186,13,240,245,Female,0,0.377797924,0.932169835,-0.762089504,-0.533358696,0.29431102
187,13,240,245,Female,0,0.149461625,0.869484418,-0.475656306,-0.437130979,0.006950172
188,13,240,245,Female,0,0.873798385,0.394419762,-0.299788644,-0.727461146,0.320668695
189,13,240,245,Female,0,0.463809458,0.806920069,-0.396713359,-0.631687643,-0.025431752
190,13,240,245,Female,0,0.605312273,0.170716265,-0.423709912,-0.397725213,-0.402439988
191,13,240,245,Female,0,0.097560295,-0.41364186,0.074082601,-1.016070621,0.910698882
192,13,240,245,Female,0,0.454405755,-0.105845884,-0.292088256,-0.672203815,0.730866809
193,13,240,245,Female,0,0.45572851,-0.10406383,-0.296483597,-0.695211442,0.754711114
194,14,235,244,Female,0,-0.230513568,1.316141058,-0.400691283,-0.042943862,0.673418891
195,14,235,244,Female,0,0.309540715,1.072975611,0.132443577,-0.20000187,-0.511792215
216,17,193,202,Female,1,0.926085272,-0.101737714,-0.948961537,0.01018322,0.69320134
217,17,193,202,Female,1,0.85759204,-0.09275802,-1.052865508,0.198372559,0.325549275
218,17,193,202,Female,1,0.859873864,-0.094834358,-1.040414527,0.210835282,0.325673259
219,17,193,202,Female,1,0.756014546,-0.50521705,-0.722878547,0.041036189,-2.12763711
220,17,193,202,Female,1,-0.626328204,-1.179061682,-0.478069978,0.044544603,-0.356312195
221,17,193,202,Female,1,0.939852586,-0.116489634,-0.907724829,0.010889831,0.684520392
222,17,193,202,Female,1,0.850695654,-0.084999745,-1.067905666,0.210364208,0.331460558
223,17,193,202,Female,1,0.850695654,-0.084999745,-1.067905666,0.210364208,0.331460558
224,17,193,202,Female,1,-0.630917309,-1.174144376,-0.491815548,0.044309065,-0.353418546
225,17,193,202,Female,1,-4.018903422,0.309085197,-0.895362523,-0.034339615,1.107766494
226,17,193,202,Female,1,-0.817964994,-1.096283392,-0.382073693,-0.527783224,0.211258035
227,17,193,202,Female,1,-0.869934164,0.028428076,-0.657312724,-0.597475305,0.529098649
271,21,251,255,Female,0,0.452314473,0.800889965,-0.577465394,-0.83046051,-0.465638182
272,21,251,255,Female,0,-1.031156122,3.977686802,-1.796072059,1.182347584,1.366516156
273,21,251,255,Female,0,0.383607914,0.75724981,-0.325759366,-1.285477833,-0.220308494
274,21,251,255,Female,0,1.240172075,1.688925155,-0.054802665,-0.904290933,-0.23131834
321,24,256,89,Female,0,0.338700486,1.784934224,-0.884938402,0.84719471,-0.386944722
322,24,256,89,Female,0,1.25307598,-0.531079336,0.467368732,-1.874313909,2.559403512
323,24,256,89,Female,0,1.096448628,-0.176371357,-0.119012236,-1.400850936,-0.070521762
324,24,256,89,Female,0,0.120221757,1.372552245,-0.969232091,-0.06291859,1.354155464
325,24,256,89,Female,0,2.429424091,-0.411582204,0.384122567,-0.777987679,-0.751698709
326,24,256,89,Female,0,-0.890863161,2.373078421,-0.841762195,-0.508450204,-0.385871333
327,24,256,89,Female,0,5.76033594,-3.131000721,-0.846358458,3.275192134,-0.790071532
328,25,265,216,Female,0,-0.281337845,-0.674976276,0.003461746,0.259700107,-0.057233178
329,25,265,216,Female,0,-0.316185436,-0.231919546,-0.426385942,-0.370932377,0.306529718
330,25,265,216,Female,0,-0.081284936,-0.818342907,-0.331519574,0.021673621,-0.123994518
331,25,265,216,Female,0,-0.795012686,2.14144524,0.296300547,-0.685540507,-1.194550121
332,26,216,265,Female,0,1.311315838,-0.991202583,0.416717221,-0.352584452,-0.481090341
333,26,216,265,Female,0,1.334229538,-1.014833327,0.499390559,-0.320544378,-0.491631565
345,30,238,276,Female,1,-4.059796712,2.977683722,0.324283562,2.836422285,-1.300985406
346,30,238,276,Female,1,0.027193218,0.386837133,0.132647657,-1.302014081,0.22441572
347,30,238,276,Female,1,-0.295798519,-1.551188503,0.218538324,-0.379113918,2.334275043
348,31,238,277,Female,1,-0.567409515,-0.268904488,-0.309457236,-0.861162017,1.611071063
349,31,238,277,Female,1,0.681541554,-0.545774427,0.500434038,-1.436496892,1.456700386
350,31,238,277,Female,1,-1.826313209,-0.029921988,-0.306983132,-0.226974458,2.753788258
351,31,238,277,Female,1,-0.015800235,-1.184490825,0.513327357,0.064782038,0.518202253
352,31,238,277,Female,1,0.761493164,-0.705353258,0.500949599,-1.090472254,2.24877655
353,31,238,277,Female,1,0.178907249,-1.343771609,-0.110054212,-0.061019479,0.83986585
354,31,238,277,Female,1,-1.247600275,-1.123351438,-0.321693573,1.181785668,-0.210748629
355,31,238,277,Female,1,0.920666472,-0.512538756,0.414703635,0.324249857,1.151808482
356,31,238,277,Female,1,0.044536599,-0.338898368,0.244286213,-0.755911667,2.484423297
357,31,238,277,Female,1,-0.187884564,-0.488642789,0.322306443,-0.721920536,0.992584747
358,31,238,277,Female,1,-0.698082158,-0.664210348,-0.023390011,-0.94108462,1.254507735
359,31,238,277,Female,1,0.460029929,1.038096227,0.264297768,-1.175076191,0.125519682
360,31,238,277,Female,1,-0.726201996,-0.846268095,0.160477385,-1.490719346,2.622200225
361,31,238,277,Female,1,0.603859074,1.216904838,0.46197447,-1.359744364,2.319031548
362,31,238,277,Female,1,0.364147703,0.547400903,0.336041486,-1.751440863,2.35884561
363,31,238,277,Female,1,0.269696133,-0.011175251,0.553248546,-0.946614069,2.454642938
364,31,238,277,Female,1,0.037316899,-0.247805173,0.196376143,-0.786475102,2.494060551
365,32,279,238,Female,1,1.287917211,-2.106656495,-0.133016913,1.436341369,-0.911986083
366,32,279,238,Female,1,0.738970164,-0.696189569,2.402832833,-1.080190717,-0.689816503
367,32,279,238,Female,1,2.1623545,-1.063997131,2.954454857,-0.870084433,-0.19536098
368,32,279,238,Female,1,-0.214958844,1.040664316,-0.287190777,-0.73889371,-0.461835484
369,33,238,279,Female,0,1.300161095,0.564921329,0.666017289,-0.378290856,2.276702856
370,33,238,279,Female,0,0.038142111,0.331414169,-0.031956529,-0.883127005,1.000512708
371,33,238,279,Female,0,0.404766906,0.988428157,0.030350949,-1.024460164,-0.105841523
372,33,238,279,Female,0,0.733841386,1.096768072,0.331899811,-0.842100569,0.409777082
373,33,238,279,Female,0,1.080132107,0.305141508,-0.040881001,0.099660172,0.319592432
374,33,238,279,Female,0,1.747792362,1.10490784,0.205281515,-1.274025595,0.86422161
